"date","gmv","quantity","total_male","total_female","total_unknown","total_order"
2024-06-12,46898.00,267,9,18,1,28
2024-06-11,213466.00,1410,26,99,7,132
2024-06-10,171892.00,1072,18,80,15,113
2024-06-09,173227.00,945,24,82,9,115
2024-06-08,177293.00,1128,26,83,15,124
2024-06-07,234146.00,1188,34,92,11,137
2024-06-06,245896.00,1586,34,106,10,150
2024-06-05,184519.00,1006,27,84,7,118
2024-06-04,187231.00,985,24,90,22,136
2024-06-03,198417.00,1134,25,87,13,124
2024-06-02,218630.00,1507,27,117,14,158
2024-06-01,213371.00,1311,32,99,11,142
2024-05-31,269386.00,1623,36,112,9,157
2024-05-30,218442.00,1196,33,87,15,134
2024-05-29,231451.00,1285,23,105,9,137
2024-05-28,220559.00,1330,33,117,12,160
2024-05-27,137408.00,830,21,64,13,98
2024-05-26,210196.00,1142,25,86,7,118
2024-05-25,193523.00,1095,24,99,9,131
2024-05-24,202647.00,1047,22,87,7,116
2024-05-23,210147.00,1202,29,95,8,132
2024-05-22,209745.00,1059,31,88,12,131
2024-05-21,161588.00,856,24,78,11,113
2024-05-20,245427.00,1339,29,115,14,157
2024-05-19,186296.00,1101,21,91,12,124
2024-05-18,183454.00,952,26,92,12,130
2024-05-17,195143.00,999,22,91,13,126
2024-05-16,156242.00,856,26,75,11,112
2024-05-15,149964.00,769,24,86,6,116
2024-05-14,204711.00,1203,25,93,10,128
2024-05-13,189185.00,1163,29,92,8,129
2024-05-12,161476.00,969,15,89,10,114
2024-05-11,184315.00,1197,30,97,9,136
2024-05-10,173471.00,1318,27,83,13,123
2024-05-09,210682.00,1220,30,105,10,145
2024-05-08,243763.00,1166,36,111,7,154
2024-05-07,215614.00,1225,29,116,10,155
2024-05-06,207783.00,1268,30,89,14,133
2024-05-05,255727.00,1655,45,132,10,187
2024-05-04,210459.00,1194,34,93,12,139
2024-05-03,229665.00,1461,26,103,13,142
2024-05-02,251164.00,1370,45,122,16,183
2024-05-01,179707.00,1081,27,91,10,127
2024-04-30,208538.00,1172,29,99,9,137
2024-04-29,167600.00,1064,24,87,15,126
2024-04-28,176342.00,1170,30,100,7,137
2024-04-27,154124.00,1080,19,81,15,115
2024-04-26,206502.00,1284,28,101,15,144
2024-04-25,243654.00,1480,35,132,8,175
2024-04-24,200178.00,1218,28,114,6,148
2024-04-23,184766.00,1129,29,90,10,129
2024-04-22,207704.00,1243,24,94,12,130
2024-04-21,174193.00,986,29,81,8,118
2024-04-20,170299.00,969,28,80,11,119
2024-04-19,208644.00,1258,38,86,19,143
2024-04-18,220731.00,1364,33,106,6,145
2024-04-17,197107.00,1327,32,98,8,138
2024-04-16,127776.00,724,22,54,8,84
2024-04-15,85742.00,381,20,27,2,49
2024-04-14,31990.00,170,8,14,2,24
2024-04-13,44265.00,137,3,24,0,27
2024-04-12,153676.00,695,11,61,8,80
2024-04-11,215472.00,1161,29,103,12,144
2024-04-10,250552.00,1367,34,125,9,168
2024-04-09,155989.00,789,25,82,7,114
2024-04-08,209181.00,1065,25,102,9,136
2024-04-07,215169.00,1118,24,109,7,140
2024-04-06,192288.00,1076,28,89,8,125
2024-04-05,186221.00,1055,31,82,3,116
2024-04-04,358149.00,2145,45,158,19,222
2024-04-03,175880.00,1131,28,106,9,143
2024-04-02,238899.00,1349,34,119,11,163
2024-04-01,238848.00,1250,31,100,8,139
2024-03-31,181794.00,1187,31,87,10,128
2024-03-30,196432.00,1430,30,101,10,141
2024-03-29,217412.00,1602,36,96,10,142
2024-03-28,216498.00,1297,32,101,17,150
2024-03-27,238446.00,1553,47,99,11,157
2024-03-26,224946.00,1299,38,103,6,147
2024-03-25,249109.00,1397,42,109,12,163
2024-03-24,159438.00,912,18,90,7,115
2024-03-23,177487.00,1121,27,95,8,130
2024-03-22,177027.00,895,34,72,7,113
